position,rank,name,lastName,uri,imageUri,worth,age,source,industry,gender,squareImage
355,352,Lin Tianfu,Lin,lin-tianfu,lin-tianfu,1160,55,"footwear, apparel",Fashion & Retail,M,//specials-images.forbesimg.com/imageserve/589f68b1a7ea431f32194be2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=60&cropY2=804
356,352,Liu Xuejing,Liu,liu-xuejing,liu-xuejing,1160,67,"copper, poultry",Diversified,M,
357,352,Wang Han,Wang,wang-han,no-pic,1160,30,airline,Diversified,M,
358,352,Xia Zuoquan,Xia,xia-zuoquan,xia-zuoquan,1160,56,automobiles,Automotive,M,
359,352,Yan Xijun,Yan,yan-xijun,yan-xijun,1160,64,pharmaceuticals,Healthcare,M,
360,352,Yao Jinbo,Yao,yao-jinbo,yao-jinbo,1160,42,online marketplace,Technology,M,
361,352,Zhou Liwu,Zhou,zhou-liwu,no-pic,1160,55,water filters,Manufacturing,M,
362,362,Li Guoqiang,Li,li-guoqiang,no-pic,1150,54,auto dealerships,Automotive,M,
363,362,Li Xuhui,Li,li-xuhui,no-pic-female,1150,49,soy sauce maker,Food and Beverage,F,
364,362,Liu Bing,Liu,liu-bing,no-pic,1150,49,retail,Fashion & Retail,M,
365,362,Ma Yunsheng,Ma,ma-yunsheng,no-pic,1150,55,energy,Diversified,M,//specials-images.forbesimg.com/imageserve/589d2dde31358e1a35ab0bd8/416x416.jpg?background=000000&cropX1=8&cropX2=723&cropY1=0&cropY2=715
366,362,Peng Jianhu,Peng,peng-jianhu,no-pic,1150,61,tourism,Media & Entertainment,M,
367,362,Wan Lianbu,Wan,wan-lianbu,no-pic,1150,52,fertilizers,Manufacturing,M,
368,362,Wang Junjin,Wang,wang-junjin,wang-junjin,1150,49,airline,Service,M,
369,362,Zhang Zhirong,Zhang,zhang-zhirong,zhang-zhirong,1150,49,"real estate, shipbuilding",Diversified,M,
370,370,Cao Renxian,Cao,cao-renxian,no-pic,1140,49,photovoltaic equipment,Energy,M,
371,370,Chu Jinfu,Chu,chu-jinfu,no-pic,1140,60,electrical equipment,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589cf10331358e1a35ab09ba/416x416.jpg?background=000000&cropX1=31&cropX2=744&cropY1=164&cropY2=878
372,370,Lucy Peng,Peng,lucy-peng,lucy-peng,1140,45,Alibaba,Technology,F,//specials-images.forbesimg.com/imageserve/59f39ec4a7ea436b47b476c8/416x416.jpg?background=000000&cropX1=1063&cropX2=3069&cropY1=6&cropY2=2011
373,373,Fang Tonghua,Fang,fang-tonghua,no-pic,1130,55,pharmaceuticals,Healthcare,M,
374,373,He Yamin,He,he-yamin,no-pic,1130,60,manufacturing,Manufacturing,M,
375,373,Li Guangyu,Li,li-guangyu,no-pic,1130,54,education,Service,M,
376,373,Wu Daohong,Wu,wu-daohong,no-pic,1130,52,energy services,Energy,M,//specials-images.forbesimg.com/imageserve/589df21b31358e1a35ab1431/416x416.jpg?background=000000&cropX1=32&cropX2=567&cropY1=261&cropY2=796
377,377,Chen Jinsong,Chen,chen-jinsong,chen-jinsong,1120,54,real estate,Real Estate,M,
378,377,Fu Kwan,Fu,fu-kwan,fu-kwan,1120,60,"real estate, diversified",Diversified,M,
379,377,Swift Xie,Xie,swift-xie,no-pic,1120,,drones,Technology,M,
380,377,Xu Jingen,Xu,xu-jingen,no-pic,1120,48,precision metallic components,Manufacturing,M,
381,377,Zhu Xingming,Zhu,zhu-xingming,no-pic,1120,50,electrical equipment,Manufacturing,M,
382,382,Li Zhen,Li,li-zhen,no-pic,1110,54,lithium batteries,Manufacturing,M,
383,383,Jin Huiming,Jin,jin-huiming,no-pic,1100,65,real estate,Real Estate,M,
384,383,Lin Zhixiong,Lin,lin-zhixiong,no-pic,1100,44,medical devices,Healthcare,M,
385,383,Lu Jonathan,Lu,lu-jonathan,no-pic,1100,49,Alibaba,Technology,M,//specials-images.forbesimg.com/imageserve/589d082331358e1a35ab0aac/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=227&cropY2=971
386,383,Lu Yonghua,Lu,lu-yonghua,lu-yonghua,1100,54,electronics,Technology,M,
387,383,Chanchai Ruayrungruang,Ruayrungruang,chanchai-ruayrungruang,chanchai-ruayrungruang,1100,64,real estate,Real Estate,M,//specials-images.forbesimg.com/imageserve/589ce07aa7ea431f321925bd/416x416.jpg?background=000000&cropX1=106&cropX2=708&cropY1=110&cropY2=713
388,383,Xue Hua,Xue,xue-hua,no-pic,1100,48,Agribusiness,Manufacturing,M,
389,383,Yang Jianxin,Yang,yang-jianxin,no-pic,1100,48,apparel,Technology,M,
390,383,Yao Xinyi,Yao,yao-xinyi,yao-xinyi,1100,53,air conditioning,Diversified,M,
391,391,Li Qiong,Li,li-qiong,no-pic-female,1090,40,online games,Technology,F,
392,391,Lo Siu Yu,Lo,lo-siu-yu,no-pic,1090,48,conglomerate,Diversified,M,
393,393,Fang Hongbo,Fang,fang-hongbo,no-pic,1080,51,home appliances,Manufacturing,M,
394,393,Wen Pengcheng,Wen,wen-pengcheng,no-pic,1080,55,agribusiness,Food and Beverage,M,
395,395,Cai Xiaoru,Cai,cai-xiaoru,no-pic,1070,38,electronic components,Technology,M,
396,395,Li Weiguo family,Li,li-weiguo,no-pic,1070,53,construction materials,Manufacturing,M,
397,395,Lin Zhijun,Lin,lin-zhijun,no-pic,1070,42,medical devices,Healthcare,M,
398,395,Liu Zhendong,Liu,liu-zhendong,no-pic,1070,,industrial parks,Service,M,
399,395,Wang Zhenghua,Wang,wang-zhenghua,wang-zhenghua,1070,73,budget airline,Service,M,//specials-images.forbesimg.com/imageserve/589dec9da7ea431f32193348/416x416.jpg?background=000000&cropX1=182&cropX2=593&cropY1=16&cropY2=427
400,395,Zhang Xinghai,Zhang,zhang-xinghai,no-pic,1070,55,machinery,Manufacturing,M,//specials-images.forbesimg.com/imageserve/589f2afaa7ea431f32194780/416x416.jpg?background=000000&cropX1=6&cropX2=736&cropY1=50&cropY2=780
