id,source,type,name,first_name,second_name,third_name,father_name,last_name,title,program,function,summary,url,gender,listed_at,updated_at,timestamp
un-sc-sanctions.2989674,un-sc-sanctions,individual,عبد الستار عبد المنان,ABDUL SATAR,ABDUL MANAN,,,,Haji,Taliban (TAi.162),,"Co-owner of Haji Khairullah Haji Sattar Money Exchange (TAe.010) and
            associated also with Khairullah Barakzai (TAi.163). Belongs to Barakzai tribe. Father’s
            name is Hajji ‘Abd-al-Manaf. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4998005",,,2012-06-29,,2018-01-13T13:40:48.230142
un-sc-sanctions.111514,un-sc-sanctions,individual,عبد المنان آغا,ABDUL MANAN AGHA,,,,,Haji,Al-Qaida (QDi.018),,"Pakistan. Review pursuant to Security Council resolution 1822 (2008) was
            concluded on 15 Jun. 2010.",,,2001-10-17,2013-06-26,2018-01-13T13:40:48.245773
un-sc-sanctions.111239,un-sc-sanctions,individual,عبد الحی عظیم عبد القادر,ABDUL HAI,HAZEM,ABDUL QADER,,,Maulavi,Taliban (TAi.142),"First Secretary, Taliban Consulate General, Quetta,
            Pakistan","Review pursuant to Security Council resolution 1822 (2008) was concluded
            on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1446037",,,2001-01-25,2003-09-03,2018-01-13T13:40:48.261808
un-sc-sanctions.110964,un-sc-sanctions,individual,احمد طه خالد عبد القادر,AHMAD TAHA,KHALID,ABDUL QADIR,,,Maulavi,Taliban (TAi.105),Governor of Paktia Province under the Taliban regime,"Taliban member responsible for Nangarhar Province as at 2011. Believed to
            be in Afghanistan/Pakistan border area. Belongs to Zadran tribe. Close associate of
            Sirajuddin Jallaloudine Haqqani (TAi.144). Review pursuant to Security Council
            resolution 1822 (2008) was concluded on 1 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427521",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.278427
un-sc-sanctions.111119,un-sc-sanctions,individual,سید عصمت الله عاصم عبد القدوس,SAYED ESMATULLAH,ASEM,ABDUL QUDDUS,,,Maulavi,Taliban (TAi.080),"Deputy Minister of Preventing Vice and Propagating Virtue under the
            Taliban regime","Member of the Taliban Supreme Council as of May 2007. Believed to be in
            Afghanistan/Pakistan border area. Member of the Taliban Peshawar Shura. Responsible for
            Afghan Taliban activity in Federally Administrated Tribal Areas, Pakistan as at 2008. A
            leading expert in IED and suicide attacks as of 2012. Review pursuant to Security
            Council resolution 1822 (2008) was concluded on 1 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427438",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.292413
un-sc-sanctions.2972739,un-sc-sanctions,individual,MUHAMMAD JIBRIL ABDUL RAHMAN,MUHAMMAD,JIBRIL,ABDUL RAHMAN,,,,Al-Qaida (QDi.295),,Senior member of Jemaah Islamiyah (QDe.092) directly involved in obtaining funding for terrorist attacks. Sentenced in Indonesia to five years in prison on 29 Jun. 2010. Father’s name is Mohamad Iqbal Abdurrahman (QDi.086). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4555825,,,2011-08-12,,2018-01-13T13:40:48.308559
un-sc-sanctions.2786469,un-sc-sanctions,individual,ALY SOLIMAN MASSOUD,ALY,SOLIMAN,MASSOUD,,,,Al-Qaida (QDi.229),,Member of Libyan Islamic Fighting Group (QDe.011). Review pursuant to Security Council resolution 1822 (2008) was concluded on 24 Nov. 2009. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1479979,,,2007-06-08,2011-12-13,2018-01-13T13:40:48.355322
un-sc-sanctions.110896,un-sc-sanctions,individual,شمس الرحمن عبد الظاهر,SHAMS,UR-RAHMAN,ABDUL ZAHIR,,,Mullah,Taliban (TAi.008),Deputy Minister of Agriculture under the Taliban regime,"Believed to be in Afghanistan/Pakistan border area. Involved in drug
            trafficking. Belongs to Ghilzai tribe. Review pursuant to Security Council resolution
            1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4707215",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.373750
un-sc-sanctions.2913551,un-sc-sanctions,individual,امیر عبد الله,AMIR,ABDULLAH,,,,,Taliban (TAi.145),Former Kandahar Province Deputy Taliban Governor,"Has travelled to Kuwait, Saudi Arabia, the Libyan Arab Jamahiriya and the
            United Arab Emirates to raise funds for the Taliban. Treasurer to Abdul Ghani Baradar
            Abdul Ahmad Turk (TAi.024). Believed to be in Afghanistan/Pakistan border
            area. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1621271",,,2010-07-20,2011-11-29,2018-01-13T13:40:48.391070
un-sc-sanctions.2983651,un-sc-sanctions,individual,عبد الرحمن,ABDUR REHMAN,,,,,,Al-Qaida (QDi.309),,"Has provided facilitation and financial services to Al-Qaida (QDe.004).
            Associated with Harakatul Jihad Islami (QDe.130), Jaish-I-Mohammed (QDe.019), and
            Al-Akhtar Trust International (QDe.121). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5040885",,,2012-03-14,,2018-01-13T13:40:48.412420
un-sc-sanctions.6908487,un-sc-sanctions,individual,Абдурахманов Магомед Магомедзакирович,MAGHOMED,MAGHOMEDZAKIROVICH,ABDURAKHMANOV,,,,Al-Qaida (QDi.363),,"As at Aug. 2015, leader of Jamaat Abu Banat terrorist group, which forms part of the Islamic State in Iraq and the Levant (ISIL), listed as Al-Qaida in Iraq (QDe.115), and operates on the outskirts of Syrian Arab Republic cities Aleppo and Idlib, extorting funds from and carrying out kidnappings and public executions of local Syrians. Physical description: eye colour brown, hair colour: dark, build: strong, straight nose, height: 180-185 cm, speaks Russian, English, Arabic. Wanted by the authorities of the Russian Federation for terrorist crimes committed in its territory. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5899816",,,2015-10-02,,2018-01-13T13:40:48.431371
un-sc-sanctions.111451,un-sc-sanctions,individual,MOHAMAD IQBAL ABDURRAHMAN,MOHAMAD,IQBAL,ABDURRAHMAN,,,,Al-Qaida (QDi.086),,Review pursuant to Security Council resolution 1822 (2008) was concluded on 8 Jun. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1422958,,,2003-01-28,2004-11-26,2018-01-13T13:40:48.451310
un-sc-sanctions.2983128,un-sc-sanctions,individual,عبد الصمد اچکزی,ABDUL SAMAD,ACHEKZAI,,,,,Taliban (TAi.160),,Senior Taliban member responsible for the manufacturing of improvised explosive devices (IED). Involved in recruiting and deploying suicide bombers to conduct attacks in Afghanistan. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4652670,,,2012-03-02,,2018-01-13T13:40:48.470084
un-sc-sanctions.3016479,un-sc-sanctions,individual,آدم خان اچکزی,ADAM KHAN,ACHEKZAI,,,,Maulavi,Taliban (TAi.167),,"Improvised explosive device manufacturer and facilitator for the Taliban.
            Taliban member responsible for Badghis Province, Afghanistan, as at mid – 2010. Former
            Taliban member responsible for Sar-e Pul and Samangan Provinces, Afghanistan. As Taliban
            military commander in Kandahar Province, Afghanistan, he was involved in organizing
            suicide attacks in neighboring provinces. Associated with Abdul Samad Achekzai
            (TAi.160). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5304878",,,2013-04-16,,2018-01-13T13:40:48.486292
un-sc-sanctions.2983821,un-sc-sanctions,individual,MOCHAMMAD ACHWAN,MOCHAMMAD,ACHWAN,,,,,Al-Qaida (QDi.304),,"Acting emir of Jemmah Anshorut Tauhid (JAT) (QDe.133). Associated with
            Abu Bakar Ba’asyir (QDi.217), Abdul Rahim Ba’aysir (QDi.293) and Jemaah Islamiyah
            (QDe.092). INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4681453",,,2012-03-12,,2018-01-13T13:40:48.505275
un-sc-sanctions.690728,un-sc-sanctions,individual,NOURREDINE ADAM,NOURREDINE,ADAM,,,,,CAR (CFi.002),General,INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5802798,,,2014-05-09,2014-11-04,2018-01-13T13:40:48.524453
un-sc-sanctions.3012677,un-sc-sanctions,individual,اياد اغ غالي,IYAD,AG GHALI,,,,,Al-Qaida (QDi.316),,"Founder and leader of Ansar Eddine (QDe.135). Member of the Tuareg Ifogas tribe. Linked to the Organization of Al-Qaida in the Islamic Maghreb (QDe.014) and Mouvement pour l’Unification et le Jihad en Afrique de l’Ouest (MUJAO) (QDe.134). Name of father is Ag Bobacer Arhali, name of mother is Rhiachatou Wallet Sidi. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5278332",,,2013-02-25,2014-09-23,2018-01-13T13:40:48.542802
un-sc-sanctions.110967,un-sc-sanctions,individual,عبدالرحمان آغا,ABDUL RAHMAN,AGHA,,,,Maulavi,Taliban (TAi.114),"Chief Justice of Military Court under the Taliban
            regime","Believed to be in Afghanistan/Pakistan border area. Review pursuant to
            Security Council resolution 1822 (2008) was concluded on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427565",,,2001-01-25,2003-09-03,2018-01-13T13:40:48.564935
un-sc-sanctions.2981707,un-sc-sanctions,individual,احمد ضیا آغا,AHMAD,ZIA,AGHA,,,Haji,Taliban (TAi.156),,"Senior Taliban official with military and financial responsibilities as
            at 2011. Leader of the Taliban’s Military Council as of 2010. In 2008 and 2009, served
            as a Taliban finance officer and distributed money to Taliban commanders in
            Afghanistan/Pakistan border area. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4653034",,,2012-01-06,,2018-01-13T13:40:48.584477
un-sc-sanctions.111204,un-sc-sanctions,individual,جانان آغا,JANAN,AGHA,,,,Mullah,Taliban (TAi.091),Governor of Faryab Province under the Taliban regime,"Member of Taliban Supreme Council and advisor to Mullah Mohammed Omar
            (TAi.004) as at June 2010. Leads a Taliban ""front"" (mahaz) as of mid-2013. Believed to
            be in Afghanistan/Pakistan border area. Belongs to Sadat ethnic group. Review pursuant
            to Security Council resolution 1822 (2008) was concluded on 23 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1428048",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.606430
un-sc-sanctions.111072,un-sc-sanctions,individual,سید محمد عظیم ﺁغا,SAYED,MOHAMMAD,AZIM,,,Maulavi,Taliban (TAi.057),"Director of the Passport and Visa Department in the Ministry of
            Interior under the Taliban regime","Directs a Taliban ""front""(mahaz) and serves as member of the military
            commission of the Taliban as of mid-2013. Believed to be in Afghanistan/Pakistan border
            area. Review pursuant to Security Council resolution 1822 (2008) was concluded on 23
            Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427409",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.626920
un-sc-sanctions.110944,un-sc-sanctions,individual,سيد غیاث الدین آغا,SAYYED GHIASSOUDDINE,AGHA,,,,Maulavi,Taliban (TAi.072),"Minister of Haj and Religious Affairs under the Taliban
            regime","Taliban member responsible for Faryab, Jawzjan, Sari Pul and Balkh
            Provinces, Afghanistan as at June 2010. Involved in drug trafficking. Member of Taliban
            Supreme Council and Taliban Military Council as at December 2009. Believed to be in
            Afghanistan/Pakistan border area. Belongs to Sadat ethnic group. Review pursuant to
            Security Council resolution 1822 (2008) was concluded on 27 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4652713",,,2001-01-31,2003-09-03,2018-01-13T13:40:48.662696
un-sc-sanctions.6908491,un-sc-sanctions,individual,تورک آغا,TOREK,AGHA,,,,Haji,Taliban (TAi.174),,Key commander for Taliban military council involved in fundraising from Gulf-based donors. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5905294,,,2015-11-02,,2018-01-13T13:40:48.706976
un-sc-sanctions.110444,un-sc-sanctions,individual,AZIM AGHAJANI,AZIM,AGHAJANI,,,,,Iran (IRi.003),"Member of the IRGC-Qods Force operating under the direction of Qods
            Force Commander, Major General Qasem Soleimani, who was designated by the UN Security
            Council in resolution 1747 (2007)","Facilitated a breach of paragraph 5 of resolution 1747 (2007) prohibiting
            the export of arms and related materiel from Iran. [Old Reference #
            I.AC.50.18.04.12.(1)]",,,2012-04-18,2014-12-17,2018-01-13T13:40:48.776405
un-sc-sanctions.111953,un-sc-sanctions,individual,فرهاد كنابي أحمد,FARHAD,KANABI,AHMAD,,,,Al-Qaida (QDi.203),,Mother’s name: Farida Hussein Khadir. Released from custody in Germany on 10 Dec. 2010 and relocated to Iraq on 6 Dec. 2011. Review pursuant to Security Council resolution 1822 (2008) was concluded on 5 Oct. 2009. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1423935,,,2005-12-06,2006-07-31,2018-01-13T13:40:48.798630
un-sc-sanctions.6908127,un-sc-sanctions,individual,محمد يونس أحمد,MUHAMMAD,YUNIS,AHMAD,,,,Iraq (IQi.080),,,,,2004-06-22,,2018-01-13T13:40:48.822168
un-sc-sanctions.2762998,un-sc-sanctions,individual,NAJMUDDIN FARAJ AHMAD,NAJMUDDIN,FARAJ,AHMAD,,,,Al-Qaida (QDi.226),,Mother’s name: Masouma Abd al-Rahman. Photo available for inclusion in the INTERPOL-UN Security Council Special Notice. Review pursuant to Security Council resolution 1822 (2008) was concluded on 20 May 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1453897,,,2006-12-07,2015-12-10,2018-01-13T13:40:48.850833
un-sc-sanctions.6908541,un-sc-sanctions,individual,TURKI MUBARAK ABDULLAH,TURKI,MUBARAK,ABDULLAH,,,,Al-Qaida (QDi.391),,"Head of religious compliance police and a recruiter of foreign terrorist fighters for Islamic State in Iraq and the Levant (ISIL), listed as Al-Qaida in Iraq (QDe.115), as of mid-May 2015.  INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5943047",,,2016-04-20,,2018-01-13T13:40:48.883259
un-sc-sanctions.2797952,un-sc-sanctions,individual,جابر عبد الله جابر أحمد الجلاهمة,JABER,ABDALLAH,JABER,,,,Al-Qaida (QDi.237),,"Previously listed between 16 Jan. 2008 and 3 Jan. 2014 (amended on 1 Jul.
            2008, 23 Jul. 2008, 25 Jan. 2010). Review pursuant to Security Council resolution 1822
            (2008) was concluded on 14 Sep. 2009. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1518755",,,2014-01-03,,2018-01-13T13:40:48.920660
un-sc-sanctions.110901,un-sc-sanctions,individual,محمد احمدی,MOHAMMAD,AHMADI,,,,Mullah,Taliban (TAi.031),"President of Central Bank (Da Afghanistan Bank) under the Taliban
            regime","Believed to be in Afghanistan/Pakistan border area. Belongs to Kakar
            tribe. He is a member of the Taliban Supreme Council. Review pursuant to Security
            Council resolution 1822 (2008) was concluded on 23 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/1427516",,,2001-02-23,2003-09-03,2018-01-13T13:40:48.944156
un-sc-sanctions.110443,un-sc-sanctions,individual,ALI AKBAR AHMADIAN,ALI AKBAR,AHMADIAN,,,,,Iran (IRi.004),Vice Admiral,Position changed. [Old Reference # I.47.D.2],,,2007-03-24,2014-12-17,2018-01-13T13:40:48.969844
un-sc-sanctions.6908044,un-sc-sanctions,individual,ABUBAKER SHARIFF AHMED,ABUBAKER,SHARIFF,AHMED,,,,Somalia (SOi.012),,INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/5775564,,,2012-08-23,,2018-01-13T13:40:49.006690
un-sc-sanctions.6908120,un-sc-sanctions,individual,عدنان س. حسن أحمد,ADNAN,S.,HASAN,,,,Iraq (IQi.073),,,,,2004-04-26,,2018-01-13T13:40:49.028328
un-sc-sanctions.111498,un-sc-sanctions,individual,طاريق أنور السيد احمد,TARIQ,ANWAR,EL SAYED,,,,Al-Qaida (QDi.014),,"Reportedly deceased in October 2001. Review pursuant to Security Council
            resolution 1822 (2008) was concluded on 29 Jul. 2010. INTERPOL-UN Security Council Special Notice web link: https://www.interpol.int/en/notice/search/un/4493067",,,2001-10-06,2004-11-26,2018-01-13T13:40:49.050155
