id,source,type,leader_name,first_name,second_name,third_name,father_name,last_name,title,program,function,summary,url,gender,listed_at,updated_at,timestamp
us-cia-world-leaders.e8dd8cec15327c1ac3239ec2d7970ba91d9d365a,us-cia-world-leaders,individual,Abdullah HABIBI Khan,,,,,,,Afghanistan,Min. of Defense,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.071981
us-cia-world-leaders.112df3986291828592dccfc7124f79b9550a7ba1,us-cia-world-leaders,individual,Abdul Satar MURAD,,,,,,,Afghanistan,Min. of Economy,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.085169
us-cia-world-leaders.27b9ac43103c69d7cafd9873143a9309168a97cf,us-cia-world-leaders,individual,Asadullah HANIF Balkhi,,,,,,,Afghanistan,Min. of Education,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.102466
us-cia-world-leaders.9c76fabcabee58e0b9fa1bfbe41493fd090fd769,us-cia-world-leaders,individual,Ali Ahmad OSMANI,,,,,,,Afghanistan,Min. of Energy & Water,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.115578
us-cia-world-leaders.68cb5a76e1132a68014cd58b6fdaecb5d6e8a7b4,us-cia-world-leaders,individual,Eklil Ahmad HAKIMI,,,,,,,Afghanistan,Min. of Finance,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.129040
us-cia-world-leaders.327f3f2b29920db04e0066910f534604717f5be1,us-cia-world-leaders,individual,Salahuddin RABBANI,,,,,,,Afghanistan,Min. of Foreign Affairs,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.141039
us-cia-world-leaders.7f68258bc0002a299589d99693eba569650a1591,us-cia-world-leaders,individual,Faiz Muhammad OSMANI,,,,,,,Afghanistan,Min. of Hajj & Islamic Affairs,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.154027
us-cia-world-leaders.f89f97bdc3959e7fa6c232aecd67a5ee5a818643,us-cia-world-leaders,individual,Farida MOHMAND,,,,,,,Afghanistan,Min. of Higher Education,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.166593
us-cia-world-leaders.eefaca36b6c750011687f8802d41da8163a01ba2,us-cia-world-leaders,individual,Abdul Bari JAHANI,,,,,,,Afghanistan,Min. of Information & Culture,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.180241
us-cia-world-leaders.195979c1e3372494895cf435d0bb841628bd0909,us-cia-world-leaders,individual,Taj Mohammad JAHID,,,,,,,Afghanistan,Min. of Interior,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.193775
us-cia-world-leaders.203841c9651a528a76e63ebe6db751ff177d3075,us-cia-world-leaders,individual,Abdul Basir ANWAR,,,,,,,Afghanistan,Min. of Justice,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.203723
us-cia-world-leaders.9a2212e7e3cd94aa4929c411719d5c43181c121e,us-cia-world-leaders,individual,Nasreen ORYAKHIL,,,,,,,Afghanistan,"Min. of Martyred, Disabled, Labor, & Social Affairs",,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.218140
us-cia-world-leaders.0cc326fac378d95fec565b4543fec1b8a65540df,us-cia-world-leaders,individual,Ghulab Nabi FARAHI,,,,,,,Afghanistan,Min. of Parliamentary Affairs,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.234617
us-cia-world-leaders.0a023a73ce07c235d50016bbb4f72eb8956068a5,us-cia-world-leaders,individual,Ferozuddin FEROZ,,,,,,,Afghanistan,Min. of Public Health,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.248317
us-cia-world-leaders.1232a8e7d38d8004a1309d4b04f97ddff0252f74,us-cia-world-leaders,individual,Mahmoud BALEGH,,,,,,,Afghanistan,Min. of Public Works,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.263714
us-cia-world-leaders.c3c043437717a58759786c4bdb952e113cf3b1da,us-cia-world-leaders,individual,Sayed Hussain Alemi BALKHI,,,,,,,Afghanistan,Min. of Refugees & Repatriation,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.277776
us-cia-world-leaders.c93d2a95fed9f99cfe077fcdbd2ac15aa29a20fd,us-cia-world-leaders,individual,Nasir Ahmad DURRANI,,,,,,,Afghanistan,Min. of Rural Rehabilitation & Development,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.291859
us-cia-world-leaders.47f8dd5daf6d75f347752af46fe9eefab3c460f1,us-cia-world-leaders,individual,Abdul Razaq WAHIDI,,,,,,,Afghanistan,Min. of Telecommunication & Information Technology,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.309083
us-cia-world-leaders.597d7c160d6e7e29d18efa82088290be54df3299,us-cia-world-leaders,individual,Mohammadullah BATASH,,,,,,,Afghanistan,Min. of Transportation & Civil Aviation,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.328894
us-cia-world-leaders.a8387d52a1f1331ff2feb20f6f796e50872507d1,us-cia-world-leaders,individual,Sayed Sadat NADERI,,,,,,,Afghanistan,Min. of Urban Development,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.357972
us-cia-world-leaders.efd48e15c59d8082976df38a9f116cbeae9c2833,us-cia-world-leaders,individual,Dilbar NAZARI,,,,,,,Afghanistan,Min. of Women's Affairs,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.369293
us-cia-world-leaders.15d0662d01250349d620bbcd6f784ac8b2aef193,us-cia-world-leaders,individual,Mohammad Hanif ATMAR,,,,,,,Afghanistan,National Security Adviser,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.381837
us-cia-world-leaders.0ed349a2be3f9d9793212018ec712af423cd55af,us-cia-world-leaders,individual,Mohammad Masoom STANEKZAI,,,,,,,Afghanistan,"Dir. Gen., National Directorate of Security",,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.393626
us-cia-world-leaders.fdd69499297db166954cf1ffcac67c0a061bf4fe,us-cia-world-leaders,individual,Ghulam Jelani POPAL,,,,,,,Afghanistan,"Dir. Gen., Independent Directorate for Local Governance",,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.408029
us-cia-world-leaders.cee6df73e229ac7ff06efcd1dcafa82b3ba6aed0,us-cia-world-leaders,individual,Khalilullah SEDIQ,,,,,,,Afghanistan,"Governor, Da Afghanistan Bank",,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.439954
us-cia-world-leaders.d11601bac599bf7fa397c2a2f95a776dbf3e21ce,us-cia-world-leaders,individual,Hamdullah MOHIB,,,,,,,Afghanistan,Ambassador to the US,,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.460000
us-cia-world-leaders.13e7b3099807b6504ed98018289028b3a5dfe9e1,us-cia-world-leaders,individual,Mahmood SAIQAL,,,,,,,Afghanistan,"Permanent Representative to the UN, New York",,https://www.cia.gov/library/publications/resources/world-leaders-1/AF.html,,,2016-06-24,2018-03-09T16:10:56.473994
us-cia-world-leaders.7a8238d17a734d2c580bd79a94bc2adf071775cb,us-cia-world-leaders,individual,Bujar NISHANI,,,,,,,Albania,Pres.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:56.956887
us-cia-world-leaders.cc4d45fbf51464f9e845850c599bda90cf227814,us-cia-world-leaders,individual,Edi RAMA,,,,,,,Albania,Prime Min.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:56.969574
us-cia-world-leaders.31ba7248b4fdf1c83d4a2405255bdae4c32a8b25,us-cia-world-leaders,individual,Niko PELESHI,,,,,,,Albania,Dep. Prime Min.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:56.982611
us-cia-world-leaders.870ae3ff94b3e68e47c3b96eee33d8d04cd7646f,us-cia-world-leaders,individual,Edmond PANARITI,,,,,,,Albania,"Min. of Agriculture, Rural Development, & Water Resources",,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:56.994792
us-cia-world-leaders.d711ead63c5ebc15e12cd8e5abb139b7b284aae8,us-cia-world-leaders,individual,Mirela KUMBARO,,,,,,,Albania,Min. of Culture,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.010163
us-cia-world-leaders.5853b30546e2248243eabe9aaa842798acefba04,us-cia-world-leaders,individual,Mimi KODHELI,,,,,,,Albania,Min. of Defense,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.023822
us-cia-world-leaders.05ea37f1096130428bc94fd0aed374a8700a84a8,us-cia-world-leaders,individual,Milva EKONOMI,,,,,,,Albania,Min. of Economy,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.037811
us-cia-world-leaders.73cd9b41485d59d53cc43654ca3a2356e5622241,us-cia-world-leaders,individual,Lindita NIKOLLA,,,,,,,Albania,Min. of Education & Sports,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.049944
us-cia-world-leaders.8db8a963e2048241fbbd69ee91fb86d063c3ce35,us-cia-world-leaders,individual,Damian GJIKNURI,,,,,,,Albania,Min. of Energy & Industry,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.061662
us-cia-world-leaders.57fa7aed3ff81d920cd63d3f75b344b949ad9f33,us-cia-world-leaders,individual,Lefter KOKA,,,,,,,Albania,Min. of Environment,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.075537
us-cia-world-leaders.f09345aafcbd7facb4aa08b6f6590345b2399df1,us-cia-world-leaders,individual,Arben AHMETAJ,,,,,,,Albania,Min. of Finance,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.126470
us-cia-world-leaders.5435dc4c0210725b98a67b89eddb9b4acd461898,us-cia-world-leaders,individual,Ditmir BUSHATI,,,,,,,Albania,Min. of Foreign Affairs,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.160905
us-cia-world-leaders.adf3e124f4ae41c900efe9a4b5c0e608d3e53e08,us-cia-world-leaders,individual,Ilir BEQAJ,,,,,,,Albania,Min. of Health,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.182277
us-cia-world-leaders.d5e7919cd8543efd2b19e83d2b058407d11f1978,us-cia-world-leaders,individual,Milena HARITO,,,,,,,Albania,Min. of Innovation & Public Admin.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.205644
us-cia-world-leaders.374e1f8303629f89382436cf6320c1c16855ab9e,us-cia-world-leaders,individual,Klajda GJOSHA,,,,,,,Albania,Min. of Integration,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.224497
us-cia-world-leaders.0319f1725119cf6166b18dbcfd92b4ce29352926,us-cia-world-leaders,individual,Sajmir TAHIRI,,,,,,,Albania,Min. of Interior,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.241711
us-cia-world-leaders.5c59c455b917fd1aaff7376bcb4802c92accaa93,us-cia-world-leaders,individual,Ylli MANJANI,,,,,,,Albania,Min. of Justice,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.254176
us-cia-world-leaders.135f4447f678603e1b9f9f793bb20b74bb8a5320,us-cia-world-leaders,individual,Bled CUCI,,,,,,,Albania,Min. of Local Govt. Affairs,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.275299
us-cia-world-leaders.91bf0122c94e078f5fdccb1704c808c5a8bedcdd,us-cia-world-leaders,individual,Ermonela FELAJ,,,,,,,Albania,Min. of Relations With Parliament,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.301400
us-cia-world-leaders.a84e7f5af571feca96b627a636afe715b95e70bc,us-cia-world-leaders,individual,Edmond HAXHINASTO,,,,,,,Albania,Min. of Transport & Infrastructure,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.358311
us-cia-world-leaders.0c9af63222d25a561e6427a2237b4c925eec4cb8,us-cia-world-leaders,individual,Eglantina GJERMENI,,,,,,,Albania,Min. of Urban Development,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.389417
us-cia-world-leaders.5fde2e1f518a4dee563525df86440b6a8dc1457a,us-cia-world-leaders,individual,Blendi KLOSI,,,,,,,Albania,Min. of Youth & Social Welfare,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.444365
us-cia-world-leaders.95878663b86bd9dcde9f187b569423b3e799dba0,us-cia-world-leaders,individual,Gent SEJKO,,,,,,,Albania,"Governor, Bank of Albania",,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.550644
us-cia-world-leaders.17d6372c43d9c8aa60db99716eaf1df3515c5eea,us-cia-world-leaders,individual,Floreta FABER,,,,,,,Albania,Ambassador to the US,,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.604069
us-cia-world-leaders.12700a031789a7971c66fa04c54ce7cc5500c493,us-cia-world-leaders,individual,Besiana KADARE,,,,,,,Albania,"Permanent Representative to the UN, New York",,https://www.cia.gov/library/publications/resources/world-leaders-1/AL.html,,,2016-09-07,2018-03-09T16:10:57.670143
us-cia-world-leaders.5f04403a28d885ca435ee603ea772f15954efd96,us-cia-world-leaders,individual,Abdelaziz BOUTEFLIKA,,,,,,,Algeria,Pres.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.683658
us-cia-world-leaders.d423a23ba72f51392e8ece55cc74726940a35f9c,us-cia-world-leaders,individual,Abdelmalek SELLAL,,,,,,,Algeria,Prime Min.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.707177
us-cia-world-leaders.ca5bab4b8eb45db7af4eff1b817ebbbe35c3a367,us-cia-world-leaders,individual,Sid-Ahmed FERROUKHI,,,,,,,Algeria,"Min. of Agriculture, Rural Development, & Fisheries",,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.722021
us-cia-world-leaders.0ec69594b8cf8d1ff5f3387594ca99d4a5c968d8,us-cia-world-leaders,individual,Bakhti BELAIB,,,,,,,Algeria,Min. of Commerce,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.803086
us-cia-world-leaders.538d780afc5ce505289e8f731e4f071ef48a7705,us-cia-world-leaders,individual,Hamid GRIN,,,,,,,Algeria,Min. of Communication,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.848214
us-cia-world-leaders.10302cdd9be84284be65351569cdf6af8ca41b35,us-cia-world-leaders,individual,Azzedine MIHOUBI,,,,,,,Algeria,Min. of Culture,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.869249
us-cia-world-leaders.be0c9aa8f55da8572534cbe9192f2ad0177d85ff,us-cia-world-leaders,individual,Salah KHEBRI,,,,,,,Algeria,Min. of Energy,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.907463
us-cia-world-leaders.5b89d7728529592bad0493c1f937407e7a6f764f,us-cia-world-leaders,individual,Abderrahmane BENKHELFA,,,,,,,Algeria,Min. of Finance,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.934543
us-cia-world-leaders.2e885ac109ec657fe5869e59b8b6ee71f342260b,us-cia-world-leaders,individual,Ramtane LAMAMRA,,,,,,,Algeria,Min. of Foreign Affairs & International Cooperation,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:58.963162
us-cia-world-leaders.825a165f65e634dc207af0d07a275cab405c6320,us-cia-world-leaders,individual,Abdelmalek BOUDIAF,,,,,,,Algeria,"Min. of Health, Population, & Hospital Reform",,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.014082
us-cia-world-leaders.23dec937d3b7e0f96548a7680b1abf20d41ab03e,us-cia-world-leaders,individual,Tahar HADJAR,,,,,,,Algeria,Min. of Higher Education & Scientific Research,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.038090
us-cia-world-leaders.7995cf4d2e9a30221263e69b9ccd554768f588e6,us-cia-world-leaders,individual,Abdelmadjid TEBBOUNE,,,,,,,Algeria,"Min. of Housing, Urban Planning, & the City",,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.053284
us-cia-world-leaders.5ed55a20d40d1b49b0ffa3f7e922ad477903d29f,us-cia-world-leaders,individual,Abdesalam BOUCHOUAREB,,,,,,,Algeria,Min. of Industry & Mines,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.073588
us-cia-world-leaders.149ddd175b099e12484a5d8a9e569d6dab8a1fb1,us-cia-world-leaders,individual,Nouredine BEDOUI,,,,,,,Algeria,Min. of Interior & Local Govts.,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.098440
us-cia-world-leaders.4421623bd95a44d979803d868f2bcb22e77e43c7,us-cia-world-leaders,individual,Tayeb LOUH,,,,,,,Algeria,Min. of Justice & Keeper of the Seals,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.112275
us-cia-world-leaders.5c2fa0078c375f892331a5071764e61d570f0ae1,us-cia-world-leaders,individual,Amar GHOUL,,,,,,,Algeria,"Min. of Land Management, Tourism, and Handicrafts",,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.130259
us-cia-world-leaders.1d57d06cbaaecd70c57cbbcad7929a86fb6a0cad,us-cia-world-leaders,individual,Mohamed GHAZI,,,,,,,Algeria,"Min. of Labor, Employment, & Social Security",,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.145120
us-cia-world-leaders.87f0d73cd94267674282ff72747aae566f4437dc,us-cia-world-leaders,individual,Abdelkader MESSAHEL,,,,,,,Algeria,Min. of Maghreb and African Affairs and the Arab League,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.175569
us-cia-world-leaders.a68ecb35338412d8d1070d386076582c081cb477,us-cia-world-leaders,individual,Abdelaziz BOUTEFLIKA,,,,,,,Algeria,Min. of National Defense,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.198637
us-cia-world-leaders.5ff1a81fdf4fd654b35d4305168935c109d8e4c7,us-cia-world-leaders,individual,Nouria BENGHEBRIT,,,,,,,Algeria,Min. of National Education,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.220700
us-cia-world-leaders.9132cb33c8d5ca4249aa76a8de9bc5db4c93a912,us-cia-world-leaders,individual,Dalila BOUDJEMAA,,,,,,,Algeria,Min. of National Planning & Environment,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.240947
us-cia-world-leaders.135ca98ea5236c4af73ad58bf1f15d9b9948b00f,us-cia-world-leaders,individual,Mounia MESLEM,,,,,,,Algeria,"Min. of National Solidarity, Family, & Women's Affairs",,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.252548
us-cia-world-leaders.2eecdfd405f396f7a14fd00fe284164b340bafba,us-cia-world-leaders,individual,Iman Houda FERAOUN,,,,,,,Algeria,"Min. of Post, Information Technologies, & Communications",,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.264961
us-cia-world-leaders.9917fefb6677485e5dfd3ecadb7d4c54616abc8a,us-cia-world-leaders,individual,Abdelkader OUALI,,,,,,,Algeria,Min. of Public Works,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.279969
us-cia-world-leaders.4b3ed81cd0f814625a07e144004257b35a6a7933,us-cia-world-leaders,individual,Tahar KHAOUA,,,,,,,Algeria,Min. of Relations With the Parliament,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.298667
us-cia-world-leaders.390a25c6d8488972025a12fb35080ea5c1bb4a20,us-cia-world-leaders,individual,Mohamed AISSA,,,,,,,Algeria,Min. of Religious Affairs & Endowments,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.312984
us-cia-world-leaders.8b22426e7b13ca3cf8420c61e51d25c4dd11df62,us-cia-world-leaders,individual,Mohamed TAHMI,,,,,,,Algeria,Min. of Sports,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.328237
us-cia-world-leaders.e59eca189127a44f06218edf6cf71081a1d52065,us-cia-world-leaders,individual,Mohamed MEBARKI,,,,,,,Algeria,Min. of Training and Education Professionals,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.342814
us-cia-world-leaders.eb3bb8d3aab2de156e0b5233a259aa546d0a5b3f,us-cia-world-leaders,individual,Boudjema TALAI,,,,,,,Algeria,Min. of Transport,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.355988
us-cia-world-leaders.7aa85e03edcf2f3cc3d0691c5503acf0d9df0aa4,us-cia-world-leaders,individual,Nouredine BEDOUI,,,,,,,Algeria,Min. of Vocational Training,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.371846
us-cia-world-leaders.48bede5424c25a5573fc23044ae524ac814ae360,us-cia-world-leaders,individual,Tayeb ZITOUNI,,,,,,,Algeria,Min. of War Veterans (Moudjahidine),,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.385753
us-cia-world-leaders.7423ea4be4f5998127d63d7b05edaa4cb5bf8d67,us-cia-world-leaders,individual,Abdelouahab NOURI,,,,,,,Algeria,Min. of Water Resources & the Environment,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.397122
us-cia-world-leaders.36d3a291225d9ed06800f28bb04f3c1ff0adaab6,us-cia-world-leaders,individual,El Hadi Ould ALI,,,,,,,Algeria,Min. of Youth & Sports,,https://www.cia.gov/library/publications/resources/world-leaders-1/AG.html,,,2015-08-06,2018-03-09T16:10:59.424376
