name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Hiroshi Mikitani,Mikitani,hiroshi-mikitani,hiroshi-mikitani,29.073,52,online retail,Fashion & Retail,M,Japan,1516704901086,5549.881,361,361
Augusto & Giorgio Perfetti,Perfetti,augusto-giorgio-perfetti,no-pic,0,,candy,Food and Beverage,M,Italy,1516704901086,6953.859,267,267
Joseph Tsai,Tsai,joseph-tsai,joseph-tsai,-1.46,54,e-commerce,Technology,M,Canada,1516704901086,10050.63,166,166
Dannine Avara,Avara,dannine-avara,no-pic-female,126.812,53,pipelines,Energy,F,United States,1516704901086,6083.11,316,316
Scott Duncan,Duncan,scott-duncan,no-pic,126.812,35,pipelines,Energy,M,United States,1516704901086,6083.11,316,318
Andrew Forrest,Forrest,andrew-forrest,andrew-forrest,-66.287,56,mining,Metals & Mining,M,Australia,1516704901086,4557.74,481,481
Milane Frantz,Frantz,milane-frantz,milane-frantz,126.812,48,pipelines,Energy,F,United States,1516704901086,6083.11,316,317
Lu Guanqiu,Lu,lu-guanqiu,lu-guanqiu,,73,conglomerate,Diversified,M,China,1509044310217,,,
Ludwig Merckle,Merckle,ludwig-merckle,ludwig-merckle,7.428,53,pharmaceuticals,Finance and Investments,M,Germany,1516704901086,7688.391,227,227
Randa Williams,Williams,randa-williams,randa-williams,126.821,56,pipelines,Energy,F,United States,1516704901086,6083.492,315,315
Yan Zhi,Yan,yan-zhi,yan-zhi,64,45,real estate,Real Estate,M,China,1516704901086,9763.224,174,174
Brian Acton,Acton,brian-acton,brian-acton,131.617,45,WhatsApp,Technology,M,United States,1516704901086,6903.429,270,270
Chan Laiwa,Chan,chan-laiwa,chan-laiwa,0,77,real estate,Real Estate,F,China,1516704901086,6676.031,279,279
Richard DeVos,DeVos,richard-devos,richard-devos,0,91,Amway,Service,M,United States,1516704901086,5518.312,364,364
Eva Gonda de Rivera,Gonda de Rivera,eva-gonda-de-rivera,no-pic-female,-0.5,,beverages,Food and Beverage,F,Mexico,1516704901086,7022.528,261,261
Joe Lewis,Lewis,joe-lewis,joe-lewis,-4.751,80,investments,Finance and Investments,M,United Kingdom,1516704901086,5344.263,383,383
Frank Lowy,Lowy,frank-lowy,frank-lowy,-3.464,87,shopping malls,Real Estate,M,Australia,1516704901086,6059.974,320,320
Whitney MacMillan,MacMillan,whitney-macmillan,whitney-macmillan,0,88,Cargill,Food and Beverage,M,United States,1516704901086,6206.043,306,306
Jim Pattison,Pattison,jim-pattison,jim-pattison,-4.839,89,diversified,Diversified,M,Canada,1516704901086,6429.819,294,294
Emanuele (Lino) Saputo,Saputo,emanuele-lino-saputo,emanuele-lino-saputo,-14.963,81,cheese,Food and Beverage,M,Canada,1516704901086,5614.058,356,356
Nassef Sawiris,Sawiris,nassef-sawiris,nassef-sawiris,76.842,57,"construction, chemicals",Construction & Engineering,M,Egypt,1516704901086,7104.819,257,257
Stef Wertheimer,Wertheimer,stef-wertheimer,stef-wertheimer,0,91,metalworking tools,Manufacturing,M,Israel,1516704901086,5750,340,340
Christoffel Wiese,Wiese,christoffel-wiese,christoffel-wiese,,76,retail,Fashion & Retail,M,South Africa,1512534544376,,,
Leon Black,Black,leon-black,leon-black,-7.418,66,private equity,Finance and Investments,M,United States,1516704901086,6707.808,277,277
Antonia Johnson,Johnson,antonia-johnson,antonia-johnson,0.797,74,diversified,Diversified,F,Sweden,1516704901086,6814.912,274,274
Bruce Kovner,Kovner,bruce-kovner,bruce-kovner,0,72,hedge funds,Finance and Investments,M,United States,1516704901086,5240,398,398
Ralph Lauren,Lauren,ralph-lauren,ralph-lauren,50.096,78,Ralph Lauren,Fashion & Retail,M,United States,1516704901086,6534.883,285,285
Lin Yu-Ling,Lin,lin-yu-ling,no-pic,2.258,81,real estate,Real Estate,M,Taiwan,1516704901086,5814.246,334,334
Shashi & Ravi Ruia,Ruia,shashi-ravi-ruia,shashi-ravi-ruia,0.06,,diversified,Diversified,M,India,1516704901086,3470.615,691,691
Hansjoerg Wyss,Wyss,hansjoerg-wyss,hansjoerg-wyss,6.47,83,medical devices,Healthcare,M,Switzerland,1516704901086,5657.421,346,346
Hui Wing Mau,Hui,hui-wing-mau,hui-wing-mau,467.516,67,real estate,Real Estate,M,Hong Kong,1516704901086,9670.888,179,179
Vikram Lal,Lal,vikram-lal,vikram-lal,-188.662,75,motorcycles,Automotive,M,India,1516704901086,6281.061,304,304
Sri Prakash Lohia,Lohia,sri-prakash-lohia,sri-prakash-lohia,-13.05,65,polyester,Manufacturing,M,Indonesia,1516704901086,6983.256,266,266
Sumner Redstone,Redstone,sumner-redstone,sumner-redstone,5.221,94,media,Media & Entertainment,M,United States,1516704901086,5108.397,412,412
David Shaw,Shaw,david-shaw,david-shaw,0,66,hedge funds,Finance and Investments,M,United States,1516704901086,5475.2,370,370
Christy Walton,Walton,christy-walton,christy-walton,48.096,68,Wal-Mart,Fashion & Retail,F,United States,1516704901086,7691.196,225,225
Guenther Fielmann,Fielmann,guenther-fielmann,guenther-fielmann,40.462,78,optometry,Healthcare,M,Germany,1516704901086,6599.635,283,283
Law Kar Po,Law,law-kar-po,law-kar-po,0,69,real estate,Real Estate,M,Hong Kong,1516704901086,4966.203,429,429
Ted Lerner,Lerner,ted-lerner,ted-lerner,0,92,real estate,Real Estate,M,United States,1516704901086,4999.016,424,424
Margarita Louis-Dreyfus,Louis-Dreyfus,margarita-louis-dreyfus,margarita-louis-dreyfus,0,55,commodities,Food and Beverage,F,Switzerland,1516704901086,5390.982,380,380
George Lucas,Lucas,george-lucas,george-lucas,18.909,73,Star Wars,Media & Entertainment,M,United States,1516704901086,5489.594,368,368
Trevor Rees-Jones,Rees-Jones,trevor-rees-jones,trevor-rees-jones,1.964,66,oil & gas,Energy,M,United States,1516704901086,4787.364,450,450
Odd Reitan,Reitan,odd-reitan,odd-reitan,0,66,"retail, real estate",Fashion & Retail,M,Norway,1516704901086,6027.702,322,322
David Sun,Sun,david-sun,david-sun,0,66,computer hardware,Technology,M,United States,1516704901086,7022.324,262,262
John Tu,Tu,john-tu,john-tu,0,76,computer hardware,Technology,M,United States,1516704901086,7022.324,262,263
Benu Gopal Bangur,Bangur,benu-gopal-bangur,benu-gopal-bangur,0.69,86,cement,Manufacturing,M,India,1516704901086,6603.711,282,282
Juan Francisco Beckmann Vidal,Beckmann Vidal,juan-francisco-beckmann-vidal,no-pic,165.448,77,tequila,Food and Beverage,M,Mexico,1516704901086,5600.177,358,358
Vincent Bollore,Bollore,vincent-bollore,vincent-bollore,183.061,65,investments,Finance and Investments,M,France,1516704901086,7792.933,222,222
John Doerr,Doerr,john-doerr,john-doerr,129.977,66,venture capital,Technology,M,United States,1516704901086,7272.502,244,244
Israel Englander,Englander,israel-englander,israel-englander,0,69,hedge funds,Finance and Investments,M,United States,1516704901086,5200,400,400
Savitri Jindal,Jindal,savitri-jindal,savitri-jindal,368.808,67,steel,Metals & Mining,F,India,1516704901086,9048.67,192,192
Jerry Jones,Jones,jerry-jones,jerry-jones,0,75,Dallas Cowboys,Sports,M,United States,1516704901086,5575,360,360
Tom & Judy Love,Love,tom-judy-love,tom-judy-love,0,81,retail & gas stations,Fashion & Retail,,United States,1516704901086,5842.325,332,332
Wolfgang Marguerre,Marguerre,wolfgang-marguerre,wolfgang-marguerre,0,76,pharmaceuticals,Healthcare,M,Germany,1516704901086,6466.178,288,288
Arnon Milchan,Milchan,arnon-milchan,arnon-milchan,0,73,movie making,Media & Entertainment,M,Israel,1516704901086,5286.226,392,392
Pankaj Patel,Patel,pankaj-patel,pankaj-patel,-134.449,64,pharmaceuticals,Healthcare,M,India,1516704901086,5305.412,390,390
Maria-Elisabeth Schaeffler,Schaeffler,maria-elisabeth-schaeffler,maria-elisabeth-schaeffler,-45.184,76,auto parts,Automotive,F,Germany,1516704901086,7341.803,239,239
Jim Davis,Davis,jim-davis,jim-davis,0,74,New Balance,Manufacturing,M,United States,1516704901086,6125.481,310,310
Oleg Deripaska,Deripaska,oleg-deripaska,oleg-deripaska,128.137,50,"aluminum, utilities",Metals & Mining,M,Russia,1516704901086,7077.254,259,259
Ivan Glasenberg,Glasenberg,ivan-glasenberg,ivan-glasenberg,-239.984,61,mining,Metals & Mining,M,Switzerland,1516704901086,7003.669,264,264
"Rupert Johnson, Jr.",Johnson,rupert-johnson-jr,no-pic,48.485,77,money management,Finance and Investments,M,United States,1516704901086,5505.546,365,365
Robert Kraft,Kraft,robert-kraft,robert-kraft,0,76,New England Patriots,Sports,M,United States,1516704901086,6199,307,307
Kwee family,Kwee,kwee,kwee,0,71,Real Estate,Real Estate,M,Singapore,1516704901086,5823.182,333,333
Steven Rales,Rales,steven-rales,steven-rales,-30.578,66,manufacturing,Manufacturing,M,United States,1516704901086,5907.434,329,329
Juan Roig,Roig,juan-roig,juan-roig,0,68,supermarkets,Fashion & Retail,M,Spain,1516704901086,4715.713,461,461
Bruno Schroder,Schroder,bruno-schroder,bruno-schroder,-42.715,85,banking,Finance and Investments,M,United Kingdom,1516704901086,6658.44,280,280
David & Frederick Barclay,Barclay,david-frederick-barclay,david-frederick-barclay,0,84,"media, retail",Diversified,M,United Kingdom,1516704901086,7410.143,238,238
Pierre Bellon,Bellon,pierre-bellon,pierre-bellon,-68.847,87,food services,Service,M,France,1516704901086,6071.184,319,319
Richard Branson,Branson,richard-branson,richard-branson,44.404,67,Virgin,Diversified,M,United Kingdom,1516704901086,5276.484,394,394
Tamara Gustavson,Gustavson,tamara-gustavson,no-pic-female,6.221,56,self storage,Service,F,United States,1516704901086,4526.143,485,485
Henry Kravis,Kravis,henry-kravis,henry-kravis,21.002,74,private equity,Finance and Investments,M,United States,1516704901086,5462.841,371,371
Dan Olsson,Olsson,dan-olsson,dan-olsson,0,71,diversified,Diversified,M,Sweden,1516704901086,6301.488,301,301
George Roberts,Roberts,george-roberts,george-roberts,21.98,74,private equity,Finance and Investments,M,United States,1516704901086,5520.941,363,363
"Edward Roski, Jr.",Roski,edward-roski-jr,edward-roski-jr,0,79,real estate,Real Estate,M,United States,1516704901086,5801.984,336,336
Wee Cho Yaw,Wee,wee-cho-yaw,wee-cho-yaw,64.007,89,banking,Finance and Investments,M,Singapore,1516704901086,7158.636,255,255
Sam Zell,Zell,sam-zell,sam-zell,13.252,76,"real estate, private equity",Real Estate,M,United States,1516704901086,5024.5,419,419
Shari Arison,Arison,shari-arison,shari-arison,-9.447,60,Carnival Cruises,Service,F,Israel,1516704901086,5755.399,339,339
Pollyanna Chu,Chu,pollyanna-chu,pollyanna-chu,310.619,59,financial services,Finance and Investments,F,Hong Kong,1516704901086,14078.059,114,114
Chung Mong-Koo,Chung,chung-mong-koo,chung-mong-koo,0.105,79,motor vehicles,Automotive,M,South Korea,1516704901086,5320.517,389,389
Albert Frere,Frere,albert-frere,albert-frere,0,91,investments,Finance and Investments,M,Belgium,1516704901086,5643.472,352,352
Kwon Hyuk-Bin,Kwon,kwon-hyuk-bin,kwon-hyuk-bin,1.219,44,online games,Technology,M,South Korea,1516704901086,6677.106,278,278
Philip & Cristina Green,Green,philip-cristina-green,philip-cristina-green,0,65,fashion retail,Fashion & Retail,,United Kingdom,1516704901086,6034.582,321,321
Ray Lee Hunt,Hunt,ray-lee-hunt,ray-lee-hunt,-1.672,74,"oil, real estate",Energy,M,United States,1516704901086,4939.945,434,434
Willi & Isolde Liebherr,Liebherr,willi-isolde-liebherr,willi-isolde-liebherr,0,,construction,Construction & Engineering,,Switzerland,1516704901086,5488.007,369,369
Lu Zhiqiang,Lu,lu-zhiqiang,lu-zhiqiang,28.741,65,real estate,Real Estate,M,China,1516704901086,5746.682,342,342
John Overdeck,Overdeck,john-overdeck,john-overdeck,0,48,hedge funds,Finance and Investments,M,United States,1516704901086,4940,432,433
David Siegel,Siegel,david-siegel-1,david-siegel-1,0,56,hedge funds,Finance and Investments,M,United States,1516704901086,4940,432,432
Daniel Ziff,Ziff,daniel-ziff,daniel-ziff,0,46,investments,Finance and Investments,M,United States,1516704901086,4800,446,446
Dirk Ziff,Ziff,dirk-ziff,dirk-ziff,0,53,investments,Finance and Investments,M,United States,1516704901086,4800,446,447
Robert Ziff,Ziff,robert-ziff,robert-ziff,0,51,investments,Finance and Investments,M,United States,1516704901086,4800,446,448
Stanley Druckenmiller,Druckenmiller,stanley-druckenmiller,stanley-druckenmiller,0,64,hedge funds,Finance and Investments,M,United States,1516704901086,4672,471,471
Desh Bandhu Gupta,Gupta,desh-bandhu-gupta,desh-bandhu-gupta,,79,pharmaceuticals,Healthcare,M,India,1506115584663,,,
"Paul Tudor Jones, II.",Jones,paul-tudor-jones-ii,paul-tudor-jones-ii,0,63,hedge funds,Finance and Investments,M,United States,1516704901086,4553.4,482,482
Lee Shin Cheng,Lee,lee-shin-cheng,lee-shin-cheng,29.746,78,"palm oil, property",Manufacturing,M,Malaysia,1516704901086,5455.313,374,374
Denis O'Brien,O'Brien,denis-obrien,denis-obrien,0,59,telecom,Telecom,M,Ireland,1516704901086,5432.76,376,376
Pan Sutong,Pan,pan-sutong,pan-sutong,31.592,54,"real estate, finance",Real Estate,M,Hong Kong,1516704901086,5806.648,335,335
Horst Paulmann,Paulmann,horst-paulmann,horst-paulmann,-31.672,83,retail,Fashion & Retail,M,Chile,1516704901086,4449.512,507,507
Alejandro Santo Domingo,Santo Domingo,alejandro-santo-domingo,alejandro-santo-domingo,-26.549,40,beer,Food and Beverage,M,United States,1516704901086,4708.942,465,465
Andres Santo Domingo,Santo Domingo,andres-santo-domingo,andres-santo-domingo,-26.556,39,beer,Food and Beverage,M,United States,1516704901086,4712.865,464,464
Thomas Schmidheiny,Schmidheiny,thomas-schmidheiny,thomas-schmidheiny,11.491,72,cement,Construction & Engineering,M,Switzerland,1516704901086,5171.152,405,405
Hong Piow Teh,Teh,hong-piow-teh,hong-piow-teh,-3.96,87,banking,Finance and Investments,M,Malaysia,1516704901086,5648.806,348,348
Rinat Akhmetov,Akhmetov,rinat-akhmetov,rinat-akhmetov,0,51,"steel, coal",Metals & Mining,M,Ukraine,1516704901086,4840.537,439,439
Pyotr Aven,Aven,pyotr-aven,pyotr-aven,18.682,62,"oil, banking, telecom",Energy,M,Russia,1516704901086,5275.541,396,396
Rahel Blocher,Blocher,rahel-blocher,no-pic-female,-7.41,42,chemicals,Manufacturing,F,Switzerland,1516704901086,5643.612,351,351
Charles Dolan,Dolan,charles-dolan,charles-dolan,14.238,91,cable television,Media & Entertainment,M,United States,1516704901086,4985.557,426,426
Laurence Graff,Graff,laurence-graff,laurence-graff,0,79,diamond jewelry,Fashion & Retail,M,United Kingdom,1516704901086,4607,476,476
Liu Yonghao,Liu,liu-yonghao,liu-yonghao,32.895,66,agribusiness,Service,M,China,1516704901086,5359.113,382,382
Chairul Tanjung,Tanjung,chairul-tanjung,chairul-tanjung,1.914,55,diversified,Diversified,M,Indonesia,1516704901086,3567.288,660,660
Zhao Tao,Zhao,zhao-tao,zhao-tao,-52.133,52,pharmaceuticals,Healthcare,M,Singapore,1516704901086,2680.779,928,928
Alexander Abramov,Abramov,alexander-abramov,alexander-abramov,-22.791,58,"steel, mining",Metals & Mining,M,Russia,1516704901086,5342.456,384,384
Clive Calder,Calder,clive-calder,clive-calder,0,71,record label,Media & Entertainment,M,United Kingdom,1516704901086,4463,502,502
Andrei Guriev,Guriev,andrei-guriev,andrei-guriev,13.281,57,fertilizers,Manufacturing,M,Russia,1516704901086,4687.561,469,469
Arthur Irving,Irving,arthur-irving,arthur-irving,0,88,oil,Energy,M,Canada,1516704901086,3769.413,619,619
Bidzina Ivanishvili,Ivanishvili,bidzina-ivanishvili,bidzina-ivanishvili,0,61,investments,Finance and Investments,M,Georgia,1516704901086,4517,488,488
Micky Jagtiani,Jagtiani,micky-jagtiani,micky-jagtiani,0,66,retail,Fashion & Retail,M,India,1516704901086,5084.441,414,414
Karl-Heinz Kipp,Kipp,karl-heinz-kipp,no-pic,,93,retail,Fashion & Retail,M,Germany,1515175386504,,,
Magdalena Martullo-Blocher,Martullo-Blocher,magdalena-martullo-blocher,magdalena-martullo-blocher,-7.38,49,chemicals,Manufacturing,F,Switzerland,1516704901086,5642.259,353,353
Michael Platt,Platt,michael-platt,michael-platt,0,49,hedge funds,Finance and Investments,M,United Kingdom,1516704901086,4500,493,493
Sergei Popov,Popov,sergei-popov,sergei-popov,1.649,46,banking,Finance and Investments,M,Russia,1516704901086,4524.735,486,486
Mitchell Rales,Rales,mitchell-rales,mitchell-rales,-20.281,61,"manufacturing, investments",Manufacturing,M,United States,1516704901086,3710.017,632,632
Leandro Rizzuto,Rizzuto,leandro-rizzuto,no-pic,0,79,consumer products,Manufacturing,M,United States,1516704901086,3520.641,677,677
John Sall,Sall,john-sall,john-sall,0,69,software,Technology,M,United States,1516704901086,5267.15,397,397
Mark Scheinberg,Scheinberg,mark-scheinberg,mark-scheinberg,0,44,online gambling,Gambling & Casinos,M,Canada,1516704901086,4755.061,455,455
Andreas von Bechtolsheim,von Bechtolsheim,andreas-von-bechtolsheim,andreas-von-bechtolsheim,102.16,62,Google,Technology,M,Germany,1516704901086,7190.844,252,252
Kelcy Warren,Warren,kelcy-warren,kelcy-warren,118.626,62,pipelines,Energy,M,United States,1516704901086,4471.693,500,500
Wu Yajun,Wu,wu-yajun,wu-yajun,526.88,54,real estate,Real Estate,F,China,1516704901086,9126.736,190,190
M.A. Yusuff Ali,Yusuff Ali,ma-yusuff-ali,ma-yusuff-ali,0,62,retail,Fashion & Retail,M,India,1516704901086,5335.853,387,387
Americo Amorim,Amorim,americo-amorim,americo-amorim,,83,"energy, investments",Diversified,M,Portugal,1506115594942,,,
Dona Bertarelli,Bertarelli,dona-bertarelli,dona-bertarelli,-6.214,50,biotech,Diversified,F,Switzerland,1516704901086,4643.321,473,473
Subhash Chandra,Chandra,subhash-chandra,subhash-chandra,-17.807,67,media,Media & Entertainment,M,India,1516704901086,4815.383,444,444
Frits Goldschmeding,Goldschmeding,frits-goldschmeding,frits-goldschmeding,93.766,84,temp agency,Service,M,Netherlands,1516704901086,5231.369,399,399
Michael Herz,Herz,michael-herz,michael-herz,23.695,74,coffee,Fashion & Retail,M,Germany,1516704901086,5740.855,343,343
Wolfgang Herz,Herz,wolfgang-herz,no-pic,23.695,67,coffee,Fashion & Retail,M,Germany,1516704901086,5740.855,343,344
Richard Li,Li,richard-li,richard-li,-1.024,51,telecom,Telecom,M,Hong Kong,1516704901086,4404.607,511,511
Akira Mori,Mori,akira-mori,akira-mori,0,81,real estate,Real Estate,M,Japan,1516704901086,5444.145,375,375
Axel Oberwelland,Oberwelland,axel-oberwelland,no-pic,0,51,candy,Food and Beverage,M,Germany,1516704901086,5341.108,386,386
Anthony Pratt,Pratt,anthony-pratt,anthony-pratt,0,57,packaging,Manufacturing,M,Australia,1516704901086,5950.164,327,327
Karen Pritzker,Pritzker,karen-pritzker,karen-pritzker,-3.643,60,"hotels, investments",Service,F,United States,1516704901086,5095.946,413,413
Paolo & Gianfelice Mario Rocca,Rocca,paolo-gianfelice-mario-rocca,paolo-gianfelice-mario-rocca,70.233,,pipe manufacturing,Metals & Mining,M,Italy,1516704901086,4873.589,438,438
Reinhold Schmieding,Schmieding,reinhold-schmieding,reinhold-schmieding,0,63,medical devices,Healthcare,M,United States,1516704901086,5176.69,404,404
Sheldon Solow,Solow,sheldon-solow,sheldon-solow,0,89,real estate,Real Estate,M,United States,1516704901086,4713.1,463,463
Ronda Stryker,Stryker,ronda-stryker,ronda-stryker,29.557,63,medical equipment,Healthcare,F,United States,1516704901086,5327.827,388,388
Tong Jinquan,Tong,tong-jinquan,no-pic,0,63,real estate,Real Estate,M,China,1516704901086,2338.507,1085,1085
Wang Wenxue,Wang,wang-wenxue,wang-wenxue,460.253,50,real estate,Real Estate,M,China,1516704901086,9034.667,193,193
Jeffery Hildebrand,Hildebrand,jeffery-hildebrand,jeffery-hildebrand,0,58,oil,Energy,M,United States,1516704901086,3993.053,574,574
"Jeremy Jacobs, Sr.",Jacobs,jeremy-jacobs-sr,jeremy-jacobs-sr,0,78,concessions,Service,M,United States,1516704901086,4830.387,441,441
Kim Jung-Ju,Kim,kim-jung-ju,kim-jung-ju,585.559,49,online games,Technology,M,South Korea,1516704901086,6441.147,292,292
Andrei Kozitsyn,Kozitsyn,andrei-kozitsyn,andrei-kozitsyn,0,57,metals,Metals & Mining,M,Russia,1516704901086,4772.538,453,453
Nancy Walton Laurie,Laurie,nancy-walton-laurie,nancy-walton-laurie,40.635,66,Wal-Mart,Fashion & Retail,F,United States,1516704901086,6092.513,313,313
Gwendolyn Sontheim Meyer,Meyer,gwendolyn-sontheim-meyer,no-pic-female,0,56,Cargill,Food and Beverage,F,United States,1516704901086,4790.894,449,449
Elisabeth Mohn,Mohn,elisabeth-mohn,elisabeth-mohn,0,77,publishing,Media & Entertainment,F,Germany,1516704901086,5109.666,410,410
Jeffrey Skoll,Skoll,jeffrey-skoll,jeffrey-skoll,57.4,53,eBay,Technology,M,United States,1516704901086,4977.722,428,428
Frederick Smith,Smith,frederick-smith,frederick-smith,-8.367,73,FedEx,Logistics,M,United States,1516704901086,5915.985,328,328
Sun Piaoyang,Sun,sun-piaoyang,sun-piaoyang,259.745,59,pharmaceuticals,Healthcare,M,China,1516704901086,8581.274,204,204
Martin Viessmann,Viessmann,martin-viessmann,martin-viessmann,0,64,heating equipment,Manufacturing,M,Germany,1516704901086,4963.325,430,430
Yeung Kin-man,Yeung,yeung-kin-man,yeung-kin-man,0,,electronics,Manufacturing,M,Hong Kong,1516704901086,5632.261,355,355
Jeronimo Arango,Arango,jeronimo-arango,no-pic,20.883,92,retail,Fashion & Retail,M,Mexico,1516704901086,4518.591,487,487
David Cheriton,Cheriton,david-cheriton,david-cheriton,103.017,66,Google,Technology,M,Canada,1516704901086,6423.567,295,295
James Dyson,Dyson,james-dyson,james-dyson,0,70,vacuums,Manufacturing,M,United Kingdom,1516704901086,5657.38,347,347
Pansy Ho,Ho,pansy-ho,pansy-ho,79.496,55,casinos,Gambling & Casinos,F,Hong Kong,1516704901086,5869.381,330,330
Martha Ingram,Ingram,martha-ingram,martha-ingram,0,82,"book distribution, transportation",Media & Entertainment,F,United States,1516704901086,5432.488,377,377
Michel Leclercq,Leclercq,michel-leclercq,no-pic,0,78,sporting goods,Fashion & Retail,M,France,1516704901086,4453.669,505,505
Theo Mueller,Mueller,theo-mueller,theo-mueller,0,77,dairy,Food and Beverage,M,Germany,1516704901086,4431.869,508,508
Michael Pieper,Pieper,michael-pieper,michael-pieper,9.849,71,kitchen appliances,Manufacturing,M,Switzerland,1516704901086,5371.312,381,381
Vichai Srivaddhanaprabha,Srivaddhanaprabha,vichai-srivaddhanaprabha,vichai-srivaddhanaprabha,-5.12,60,duty-free,Fashion & Retail,M,Thailand,1516704901086,5402.258,378,378
Leonard Stern,Stern,leonard-stern,leonard-stern,0,79,real estate,Real Estate,M,United States,1516704901086,4488.304,495,495
Keiichiro Takahara,Takahara,keiichiro-takahara,keiichiro-takahara,83.663,86,diapers,Manufacturing,M,Japan,1516704901086,5341.747,385,385
Wang Chuanfu,Wang,wang-chuanfu,wang-chuanfu,289.848,51,"batteries, automobiles",Automotive,M,China,1516704901086,5962.469,326,326
Samuel Yin,Yin,samuel-yin,samuel-yin,47.916,67,diversified,Diversified,M,Taiwan,1516704901086,3922.955,592,592
Abdulla Al Futtaim,Al Futtaim,abdulla-al-futtaim,abdulla-al-futtaim,-6.016,,"auto dealers, investments",Automotive,M,United Arab Emirates,1516704901086,3326.946,719,719
Suhail Bahwan,Bahwan,suhail-bahwan,no-pic,1.186,79,diversified,Diversified,M,Oman,1516704901086,4040.143,563,563
Lam Wai Ying,Lam,lam-wai-ying,no-pic-female,0,,smartphone screens,Manufacturing,F,Hong Kong,1516704901086,5401.78,379,379
Angela Leong,Leong,angela-leong,angela-leong,58.101,56,casinos,Gambling & Casinos,F,Hong Kong,1516704901086,3797.327,611,611
Fredrik Lundberg,Lundberg,fredrik-lundberg,fredrik-lundberg,40.258,66,"real estate, investments",Real Estate,M,Sweden,1516704901086,5065.482,415,415
Ma Jianrong,Ma,ma-jianrong,ma-jianrong,138.65,54,"textiles, apparel",Fashion & Retail,M,China,1516704901086,6913.672,269,269
Gabe Newell,Newell,gabe-newell,gabe-newell,0,55,videogames,Gambling & Casinos,M,United States,1516704901086,5500,366,366
Terrence Pegula,Pegula,terrence-pegula,terrence-pegula,0,66,natural gas,Energy,M,United States,1516704901086,4348,516,516
Ira Rennert,Rennert,ira-rennert,ira-rennert,0,83,investments,Finance and Investments,M,United States,1516704901086,3848,604,604
J. Christopher Reyes,Reyes,j-christopher-reyes,j-christopher-reyes,0,64,food distribution,Food and Beverage,M,United States,1516704901086,4730.358,457,457
Jude Reyes,Reyes,jude-reyes,no-pic,0,62,food distribution,Food and Beverage,M,United States,1516704901086,4730.358,457,458
Kushal Pal Singh,Singh,kushal-pal-singh,kushal-pal-singh,213.819,86,real estate,Real Estate,M,India,1516704901086,7133.252,256,256
Xu Bo,Xu,xu-bo,no-pic,0,40,mobile games,Media & Entertainment,M,China,1516704901086,2602.592,958,958
Zhang Jindong,Zhang,zhang-jindong,zhang-jindong,99.236,54,appliance retailer,Fashion & Retail,M,China,1516704901086,5455.395,373,373
Robert Bass,Bass,robert-bass,robert-bass,12.764,69,"oil, investments",Energy,M,United States,1516704901086,5023.965,420,420
Marc Benioff,Benioff,marc-benioff,marc-benioff,34.699,53,business software,Technology,M,United States,1516704901086,5168.927,406,406
Jean-Michel Besnier,Besnier,jean-michel-besnier,jean-michel-besnier,10.061,50,cheese,Food and Beverage,M,France,1516704901086,5646.379,349,349
Marie Besnier Beauvalot,Besnier Beauvalot,marie-besnier-beauvalot,no-pic-female,10.061,37,cheese,Food and Beverage,F,France,1516704901086,5646.379,349,350
John Gandel,Gandel,john-gandel,john-gandel,10.95,83,shopping malls,Real Estate,M,Australia,1516704901086,4270.182,534,534
Bertil Hult,Hult,bertil-hult,bertil-hult,0,76,education,Service,M,Sweden,1516704901086,4000,571,571
James Jannard,Jannard,james-jannard,james-jannard,0,68,sunglasses,Fashion & Retail,M,United States,1516704901086,4297.298,530,530
Jason Jiang,Jiang,jason-jiang,jason-jiang,797.967,45,advertising,Media & Entertainment,M,China,1516704901086,7204.493,250,250
Patrick Lee,Lee,patrick-lee,patrick-lee,-14.427,75,paper,Manufacturing,M,Hong Kong,1516704901086,5191.686,401,401
Bernard Marcus,Marcus,bernard-marcus,bernard-marcus,78.25,88,Home Depot,Fashion & Retail,M,United States,1516704901086,5595.5,359,359
Alain Merieux,Merieux,alain-merieux,alain-merieux,-35.491,80,pharmaceuticals,Healthcare,M,France,1516704901086,6340.145,299,299
John Morris,Morris,john-morris,john-morris,0,69,sporting goods retail,Fashion & Retail,M,United States,1516704901086,4828.478,442,442
Bobby Murphy,Murphy,bobby-murphy,bobby-murphy,27.426,29,Snapchat,Technology,M,United States,1516704901086,3199.345,749,749
Isaac Perlmutter,Perlmutter,isaac-perlmutter,isaac-perlmutter,12.979,75,Marvel comics,Media & Entertainment,M,United States,1516704901086,4232.495,539,539
"H. Ross Perot, Sr.",Perot,h-ross-perot-sr,h-ross-perot-sr,0,87,"computer services, real estate",Diversified,M,United States,1516704901086,4186.288,546,546
Stewart and Lynda Resnick,Resnick,stewart-and-lynda-resnick,stewart-and-lynda-resnick,0,,"agriculture, water",Food and Beverage,,United States,1516704901086,3918.738,596,596
"Robert Rich, Jr.",Rich,robert-rich-jr,robert-rich-jr,0,76,frozen foods,Food and Beverage,M,United States,1516704901086,6112.356,311,311
Evan Spiegel,Spiegel,evan-spiegel,evan-spiegel,26.996,27,Snapchat,Technology,M,United States,1516704901086,3149.786,763,763
